"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"C9IJWB6X","journalArticle","2013","Forbes, Chad","A Biopsychosocial Model of Women's Departure From STEM Fields","","","","","","A recent analysis by the National Academy of Sciences revealed that there are major leaks in the pipeline as women proceed in to the upper echelons of Science, Technology, Engineering and Mathematic (STEM) domains. Dr. Chad Forbes (University of Delaware) proposes one reason for this is that continuous exposure to stereotype threatening contexts, i.e., stressful performance situations where negative stereotypes about women's math ability are salient, may initiate a biological stress response that enhances encoding and recall of negative emotional memories associated with STEM domains. These memories ultimately facilitate learned STEM aversions to undermine tactics people normally employ to ensure perseverance in challenging domains. With support from the National Science Foundation, Dr. Forbes and colleagues will conduct four experiments on men and women who are highly identified with STEM domains. Incorporating longitudinal, genotyping, and simultaneous EEG and startle probe methodologies, these studies will assess how subcortical and cortical responses to negative information encountered in stereotype threatening contexts predicts women's memory for negative information (Study 1), STEM aversions (Study 2), and ability to self-enhance in STEM domains (Study 3). Genetic polymorphisms known to influence neural regulatory processes will be assessed as moderators of these relationships. The final study will attempt to counteract women's basic STEM aversions to motivate sustained engagement with STEM domains. Together, these studies will identify key factors that both repel women from STEM domains and promote their retention. <br/><br/>The underrepresentation of women in STEM fields has deleterious ramifications on the nation's economy, academic and corporate diversity, national productivity, innovation and quality of STEM products, services and education, and overall quality of life. Identifying ways to increase the representation of women in STEM fields will have broad impacts on future intervention programs, advancement in science, and prosperity of our nation. By disseminating findings from these studies to hundreds of women STEM majors and public forums, this project will create opportunities to educate these groups about the deleterious consequences of stereotype threat on women's STEM engagement and the dire need to promote their retention in STEM fields. Furthermore, dozens of students, including women and underrepresented minorities, will be trained in cutting-edge neuroscience methodologies and have the opportunity to present findings at national and international conferences.  Finally, the project will generate a very large EEG and genetic database. Dr. Forbes will contribute to the big data effort by making the data available to support other coordinated NSF efforts that aim to make use of real data in teaching STEM related courses, developing EEG-based source imaging methods, and enabling participation in discovery science by those who would otherwise have no access to such data.","2013","2024-05-26 14:29:26","2024-05-26 14:29:26","2023-12-08","","","","","","","","","","","","","","","","","","GRANTS:14025487","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C6CW35XD","journalArticle","2013","Eiler, Brian A.; Kallen, Rachel W.; Harrison, Steven J.; Richardson, Michael J.","Origins of Order in Joint Activity and Social Behavior","ECOLOGICAL PSYCHOLOGY","","1040-7413","10.1080/10407413.2013.810107","","How should we understand the origins of order and control that entail the systematic regularity of human behavior? Here, we address this question with respect to joint activity and social behavior via an explication of Guy Van Orden's formulation of interaction-dominant dynamics and his provocative discussion of the blue collar brain. Using these 2 concepts we argue that human social behavior and performance is not controlled by a cascade of fast timescale activity (i.e., neural processes or individual action) but rather emerges from the modulated enslavement of faster timescale processes by much slower dynamical processes, such as shared task outcomes and socially defined historical context. We detail this argument by reviewing 2 recent behavioral findings that we believe provide evidence that the dynamics of human performance during a socially situated activity is interaction dominant. The first concerns the behavioral coordination that emerges during a novel joint-action collision-avoidance task. The second concerns the effects of stereotype threat on an individual's cognitive performance. Finally, we discuss how identifying the role that the slower timescale dynamics of social events and structures plays in shaping complex behavioral dynamics can guide future research on joint-action and human performance.","2013-07-01","2024-05-26 14:29:27","2024-05-26 14:29:27","2013-08-29","316-326","","3","25","","","","","","","","","","","","","","WOS:000322307300014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DBDZ7PP8","journalArticle","2017","ErEl, Hadas; Meiran, Nachshon","A drop in performance on a fluid intelligence test due to instructed-rule mindset","PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG","","0340-0727","10.1007/s00426-016-0796-8","","A 'mindset' is a configuration of processing resources that are made available for the task at hand as well as their suitable tuning for carrying it out. Of special interest, remote-relation abstract mindsets are introduced by activities sharing only general control processes with the task. To test the effect of a remote-relation mindset on performance on a Fluid Intelligence test (Raven's Advanced Progressive Matrices, RAPM), we induced a mindset associated with little usage of executive processing by requiring participants to execute a well-defined classification rule 12 times, a manipulation known from previous work to drastically impair rule-generation performance and associated cognitive processes. In Experiment 1, this manipulation led to a drop in RAPM performance equivalent to 10.1 IQ points. No drop was observed in a General Knowledge task. In Experiment 2, a similar drop in RAPM performance was observed (equivalent to 7.9 and 9.2 IQ points) regardless if participants were pre-informed about the upcoming RAPM test. These results indicate strong (most likely, transient) adverse effects of a remote-relation mindset on test performance. They imply that although the trait of Fluid Intelligence has probably not changed, mindsets can severely distort estimates of this trait.","2017-09","2024-05-26 14:29:27","2024-05-26 14:29:27","2017-08-15","901-909","","5","81","","","","","","","","","","","","","","WOS:000406685800001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KRX3IQM","journalArticle","2009","Guthrie, Linda","Targeted Infusion Grant: Development of an Experimental Psychology Teaching & Research Laboratory at Tennessee State University","","","","","","[HRD 0811773]  The Tennessee State University (TSU) is working to enhance the experimental psychology curriculum and increases mentored research opportunities for undergraduate students. This HBCU-UP Targeted Infusion Project supports further development of the TSU state-of-the-art Experimental Psychology Teaching and Research Laboratory. Unpublished institutional data from recent TSU alumni (1999-2005) reveal no graduates applied to graduate programs in experimental psychology. Standardized tests administered by the University show that mastery of experimental subfields of psychology (e.g., cognitive, sensation and physiology, developmental) is weaker than clinical subfields. This pattern contributes to the under-representation of minorities in experimental psychology and in Psychology Departments in academia. This under-representation leads to a paucity of human subjects? research using African American participants or examining issues particularly relevant to African Americans (e.g., stereotype threat).<br/><br/>Development of the Experimental Psychology Teaching and Research Laboratory modernizes and elevates the Psychology Department?s curriculum by providing students enrolled in new and reinstated experimental courses with experiential learning opportunities. Through coursework and research experiences in the Lab, students gain experience using professional grade instruments and methodologies including a neuro-imaging tool (EEG), instruments that objectively measure sleep quality, standardized tests of brain functioning, observation equipment for conducting social psychology research, and various software programs (e.g., E-prime) for conducting original psychological research. Consequently, students show greater mastery of experimental psychology subfields as measured by a standardized test, increased interest in pursuing careers in experimental psychology as measured by a survey, and greater enrollment in rigorous experimental courses.<br/>","2009","2024-05-26 14:29:27","2024-05-26 14:29:27","2023-12-08","","","","","","","","","","","","","","","","","","GRANTS:13846626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8LF6FBB","journalArticle","2007","Elliot, Andrew J.; Maier, Markus A.; Moller, Arlen C.; Friedman, Ron; Meinhardt, Joerg","Color and psychological functioning: The effect of red on performance attainment","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL","","0096-3445","10.1037/0096-3445.136.1.154","","This research focuses on the relation between color and psychological functioning, specifically, that between red and performance attainment. Red is hypothesized to impair performance on achievement tasks, because red is associated with the danger of failure in achievement contexts and evokes avoidance motivation. Four experiments demonstrate that the brief perception of red prior to an important test (e.g., an IQ test) impairs performance, and this effect appears to take place outside of participants' conscious awareness. Two further experiments establish the link between red and avoidance motivation as indicated by behavioral (i.e., task choice) and psychophysiological (i.e., cortical activation) measures. The findings suggest that care must be taken in how red is used in achievement contexts and illustrate how color can act as a subtle environmental cue that has important influences on behavior.","2007-02","2024-05-26 14:29:27","2024-05-26 14:29:27","2007-02-01","154-168","","1","136","","","","","","","","","","","","","","WOS:000244163600008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P6KWY2IX","journalArticle","2021","Werle, Danielle; Byrd, Courtney T.","College professors ? perceptions of students who stutter and the impact on comfort approaching professors","JOURNAL OF FLUENCY DISORDERS","","0094-730X","10.1016/j.jfludis.2020.105826","","Purpose: Previous literature has documented that college professors view hypothetical students who stutter more negatively than their fluent peers. The purpose of the present study was to investigate whether individuals who stutter report they experience more negative perceptions in the college classroom, and the impact of those perceptions on their comfort approaching professors. Methods: Two hundred forty-six adults who do and do not stutter, matched for age, participated in this study. Participants were presented with 16 positive and negative personality traits and asked to rate how strongly they believed their professor viewed them along each trait. All participants were asked whether they felt comfortable approaching their professors to discuss their performance. Adults who stutter were asked additional questions to investigate their college experience more comprehensively. Results: Adults who stutter reported they experienced significantly more negative perceptions from their professors than adults who do not stutter, and were significantly less likely to feel comfortable approaching their professors. These reported negative perceptions, specifically being perceived as less self-assured, predicted comfort approaching professors to receive performance feedback for adults who stutter. Finally, amongst adults who stutter, perception of how they were evaluated compared to their peers was significantly related to comfort approaching professors. Conclusions: Results support that the negative perceptions towards hypothetical students who stutter reported in previous literature are experienced by individuals who stutter, and that these perceptions drive comfort approaching professors for performative feedback. Results suggest professors may increase students? comfort by clearly outlining equality in evaluation procedures.","2021-03","2024-05-26 14:29:27","2024-05-26 14:29:27","2021-04-16","","","","67","","","","","","","","","","","","","","WOS:000632320400008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3682IGQJ","journalArticle","2012","Estes, Zachary; Felker, Sydney","Confidence Mediates the Sex Difference in Mental Rotation Performance","ARCHIVES OF SEXUAL BEHAVIOR","","0004-0002","10.1007/s10508-011-9875-5","","On tasks that require the mental rotation of 3-dimensional figures, males typically exhibit higher accuracy than females. Using the most common measure of mental rotation (i.e., the Mental Rotations Test), we investigated whether individual variability in confidence mediates this sex difference in mental rotation performance. In each of four experiments, the sex difference was reliably elicited and eliminated by controlling or manipulating participants' confidence. Specifically, confidence predicted performance within and between sexes (Experiment 1), rendering confidence irrelevant to the task reliably eliminated the sex difference in performance (Experiments 2 and 3), and manipulating confidence significantly affected performance (Experiment 4). Thus, confidence mediates the sex difference in mental rotation performance and hence the sex difference appears to be a difference of performance rather than ability. Results are discussed in relation to other potential mediators and mechanisms, such as gender roles, sex stereotypes, spatial experience, rotation strategies, working memory, and spatial attention.","2012-06","2024-05-26 14:29:27","2024-05-26 14:29:27","2012-06-01","557-570","","3","41","","","","","","","","","","","","","","WOS:000303508500009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2K663EXM","journalArticle","2017","Liu, Mengting; Amey, Rachel C.; Forbes, Chad E.","On the Role of Situational Stressors in the Disruption of Global Neural Network Stability during Problem Solving","JOURNAL OF COGNITIVE NEUROSCIENCE","","0898-929X","10.1162/jocn_a_01178","","When individuals are placed in stressful situations, they are likely to exhibit deficits in cognitive capacity over and above situational demands. Despite this, individuals may still persevere and ultimately succeed in these situations. Little is known, however, about neural network properties that instantiate success or failure in both neutral and stressful situations, particularly with respect to regions integral for problem-solving processes that are necessary for optimal performance on more complex tasks. In this study, we outline how hidden Markov modeling based on multivoxel pattern analysis can be used to quantify unique brain states underlying complex network interactions that yield either successful or unsuccessful problem solving in more neutral or stressful situations. We provide evidence that brain network stability and states underlying synchronous interactions in regions integral for problem-solving processes are key predictors of whether individuals succeed or fail in stressful situations. Findings also suggested that individuals utilize discriminate neural patterns in successfully solving problems in stressful or neutral situations. Findings overall highlight how hidden Markov modeling can provide myriad possibilities for quantifying and better understanding the role of global network interactions in the problem-solving process and how the said interactions predict success or failure in different contexts.","2017-12","2024-05-26 14:29:27","2024-05-26 14:29:27","2017-11-19","2037-2053","","12","29","","","","","","","","","","","","","","WOS:000414016400006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5EVRX94G","journalArticle","2010","Kang, Sonia K.; Inzlicht, Michael; Derks, Belle","Social Neuroscience and Public Policy on Intergroup Relations: A Hegelian Analysis","JOURNAL OF SOCIAL ISSUES","","0022-4537","10.1111/j.1540-4560.2010.01664.x","","Social neuroscience is an exciting new field with much to offer to the study of stigma and intergroup relations. In this article, we consider the potential impact that social neuroscience will have for social and public policy pertaining to these important topics. Taking a Hegelian approach, we discuss why social neuroscience should and should not be used by intergroup researchers and policy makers to inform public policy. We then critique these arguments and provide suggestions for best practices. Overall, our assessment of the potential for social neuroscience to inform public policy is positive, but we encourage researchers and policy makers alike to use this new methodology with social responsibility and frugality in mind.","2010","2024-05-26 14:29:27","2024-05-26 14:29:27","2010-01-01","585-601","","3","66","","","","","","","","","","","","","","WOS:000281550500011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9CSQVQE","journalArticle","2011","Ramirez, Gerardo; Beilock, Sian L.","Writing About Testing Worries Boosts Exam Performance in the Classroom","SCIENCE","","0036-8075","10.1126/science.1199427","","Two laboratory and two randomized field experiments tested a psychological intervention designed to improve students' scores on high-stakes exams and to increase our understanding of why pressure-filled exam situations undermine some students' performance. We expected that sitting for an important exam leads to worries about the situation and its consequences that undermine test performance. We tested whether having students write down their thoughts about an upcoming test could improve test performance. The intervention, a brief expressive writing assignment that occurred immediately before taking an important test, significantly improved students' exam scores, especially for students habitually anxious about test taking. Simply writing about one's worries before a high-stakes exam can boost test scores.","2011-01-14","2024-05-26 14:29:27","2024-05-26 14:29:27","2011-01-14","211-213","","6014","331","","","","","","","","","","","","","","WOS:000286433100041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZFB3S2II","journalArticle","2021","Liu, Mengting; Backer, Robert A.; Amey, Rachel C.; Splan, Eric E.; Magerman, Adam; Forbes, Chad E.","Context Matters: Situational Stress Impedes Functional Reorganization of Intrinsic Brain Connectivity during Problem-Solving","CEREBRAL CORTEX","","1047-3211","10.1093/cercor/bhaa349","","Extensive research has established a relationship between individual differences in brain activity in a resting state and individual differences in behavior. Conversely, when individuals are engaged in various tasks, certain task-evoked reorganization occurs in brain functional connectivity, which can consequently influence individuals' performance as well. Here, we show that resting state and task-dependent state brain patterns interact as a function of contexts engendering stress. Findings revealed that when the resting state connectome was examined during performance, the relationship between connectome strength and performance only remained for participants under stress (who also performed worse than all other groups on the math task), suggesting that stress preserved brain patterns indicative of underperformance whereas non-stressed individuals spontaneously transitioned out of these patterns. Results imply that stress may impede the reorganization of a functional network in task-evoked brain states. This hypothesis was subsequently verified using graph theory measurements on a functional network, independent of behavior. For participants under stress, the functional network showed less topological alterations compared to non-stressed individuals during the transition from resting state to task-evoked state. Implications are discussed for network dynamics as a function of context.","2021-04","2024-05-26 14:29:27","2024-05-26 14:29:27","2021-04-29","2111-2124","","4","31","","","","","","","","","","","","","","WOS:000637029100018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQLWWHLP","journalArticle","2021","Erthal, F. S.; Bastos, A. F.; Vaccariello, C.; Madeira, A. T. S.; Santos, T. S.; Stariolo, J. B.; Oliveira, L.; Pereira, M. G.; Calaza, K. C.; Hedin-Pereira, C.; Volchan, E.","Towards diversity in science - a glance at gender disparity in the Brazilian Society of Neuroscience and Behavior (SBNeC)","BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH","","0100-879X","10.1590/1414-431X2020e11026","","Gender equity is far from being achieved in most academic institutions worldwide. Women representation in scientific leadership faces multiple obstacles. Implicit bias and stereotype threat are considered important driving forces concerning gender disparities. Negative cultural stereotypes of weak scientific performance, unrelated to true capacity, are implicitly associated with women and other social groups, influencing, without awareness, attitudes and judgments towards them. Meetings of scientific societies are the forum in which members from all stages of scientific careers are brought together. Visibility in the scientific community stems partly from presenting research as a speaker. Here, we investigated gender disparities in the Brazilian Society of Neuroscience and Behavior (SBNeC). Across the 15 mandates (1978-2020), women occupied 30% of the directory board posts, and only twice was a woman president. We evaluated six meetings held between 2010 and 2019. During this period, the membership of women outnumbered that of men in all categories. A total of 57.50% of faculty members, representing the potential pool of speakers and chairs, were female. Compared to this expected value, female speakers across the six meetings were scarce in full conferences (chi(2)(5)=173.54, P<0.001) and low in symposia (chi(2)(5)=36.92, P<0.001). Additionally, women chaired fewer symposia (chi(2)(5)=47.83, P<0.001). Furthermore, men-chaired symposia had significantly fewer women speakers than women-chaired symposia (chi(2)(1)=56.44, P<0.001). The gender disparities observed here are similar to those in other scientific societies worldwide, urging them to lead actions to pursue gender balance and diversity. Diversity leads not only to fairness but also to higher-quality science.","2021","2024-05-26 14:29:27","2024-05-26 14:29:27","2021-08-01","","","10","54","","","","","","","","","","","","","","WOS:000677495300001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5JG537T5","journalArticle","2019","Balart, Pau; Oosterveen, Matthijs","Females show more sustained performance during test-taking than males","NATURE COMMUNICATIONS","","2041-1723","10.1038/s41467-019-11691-y","","Females tend to perform worse than males on math and science tests, but they perform better on verbal reading tests. Here, by analysing performance during a cognitive test, we provide evidence that females are better able to sustain their performance during a test across all of these topics, including math and science (study 1). This finding suggests that longer cognitive tests decrease the gender gap in math and science. By analysing a dataset with multiple tests that vary in test length, we find empirical support for this idea (study 2).","2019-09-03","2024-05-26 14:29:27","2024-05-26 14:29:27","2019-09-16","","","","10","","","","","","","","","","","","","","WOS:000483711100001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XEW7X4UA","journalArticle","2022","TRELLE, ALEXANDRA NICOLE","""Eye-tracking and Multimodal Biomarkers to Enhance Detection of Preclinical Alzheimer's Disease in Diverse Populations.""","","","","","","PROJECT SUMMARY/ABSTRACTThe proposed research seeks to address a critical need for cognitive screening tools that are sensitive to earlyneurocognitive decline in preclinical Alzheimer’s disease (AD), suitable for application in racially/ethnicallydiverse communities, and translatable across home, community, and primary care settings. Due to intricate linksbetween the oculomotor system and the medial temporal lobe, an initial site of tangle pathology, memory-relatedeye-movements represent a promising method for assessment of medial temporal lobe function while minimizingconfounds (e.g., language proficiency, literacy, stereotype threat) associated with overt responding in traditionalcognitive tests. However, the sensitivity of memory-related eye-movements to incipient AD in cognitivelyunimpaired older adults remains unclear. To address this critical gap in AD research, the applicant will leveragea sample of 199 older adults in the Stanford Aging and Memory Study with existing cognitive assessments, CSFand blood samples, MRI, and Tau PET data. During the K99 phase, the first aim is to examine associationsbetween memory-related eye-movements and global AD biomarkers including (a) CSF Ab42/40 and p-tau181and (b) plasma p-tau181 in cognitively unimpaired older adults. The second aim is to examine associationsbetween these eye-tracking assays and focal tau accumulation in the medial temporal lobe using F18PI-2620Tau PET imaging. The primary hypothesis is that two forms of memory-related eye-movements – noveltypreference and scanpath reinstatement – will be impaired in Ab+ individuals with elevated CSF and plasma p-tau181, and will be negatively associated with focal tau accumulation in the medial temporal lobe. To accomplishthese goals and prepare for the R00 phase, the applicant will leverage existing strengths in the cognitiveneuroscience of memory and aging, statistical modelling, and MR imaging processing and analysis, to gainexpertise in 3 key areas: (1) eye-tracking measures of medial temporal lobe function, (2) analysis and applicationof in vivo AD biomarkers (i.e., Tau PET imaging and blood-based biomarkers), and (3) racial and ethnicdisparities in AD research. The development of these skills will enable the applicant to successfully transition toindependence in the R00 phase, where they will complete the final aim, which will use a mobile eye-trackingsystem to examine associations between memory-related eye-movements and blood-based biomarkers in aracially/ethnically diverse sample of older adults. In doing so, this aim will also establish the feasibility of eye-tracking data collection in home and health care settings. This project thus leverages multiple innovations thatwork to increase the availability and accessibility of AD research to communities that are currentlyunderrepresented and underserved. For the applicant, this program will facilitate the rapid development of criticalskills and enable the successful launch of an independent research program that combines cutting-edge fluidand imaging AD biomarkers and innovative neurocognitive assessment to mitigate disparities in AD research.","2022","2024-05-26 14:29:27","2024-05-26 14:29:27","2023-12-14","","","","","","","","","","","","","","","","","","GRANTS:15605254","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7A4VXGY8","journalArticle","2011","Zhang, Baoshan; Wang, Mo; Li, Juan; Yu, Guoliang; Bi, Yan-Ling","THE EFFECTS OF CONCEALING ACADEMIC ACHIEVEMENT INFORMATION ON ADOLESCENTS' SELF-CONCEPT","PSYCHOLOGICAL RECORD","","0033-2933","10.1007/BF03395744","","Using an experimental design, the effect of concealing academic achievement information on adolescents' self-concept was examined in the current study. Specifically, adolescents with low academic achievement and adolescents with average to high academic achievement (N = 129) were randomly assigned to different interview contexts wherein academic-achievement information could be concealed or not. Results showed that participants with low academic achievement in the concealing-achievement-information condition had higher levels of state self-esteem and more self-representation suppression. Their negative self-representation was also activated when they were under high cognitive load. Participants with high academic achievement in the condition in which positive achievement information was concealed had lower state self-esteem and activated the positive self-representation under high cognitive load. Overall, the results showed that concealing academic-achievement information can cause short-term change of self-concept for adolescents.","2011","2024-05-26 14:29:27","2024-05-26 14:29:27","2011-11-09","21-39","","1","61","","","","","","","","","","","","","","WOS:000296105600002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AAGKPY3X","journalArticle","2024","Merrick, Megan; Fyfe, Emily R.","Right or wrong? How feedback content and source influence children's mathematics performance and persistence","JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY","","0022-0965","10.1016/j.jecp.2024.105865","","The current study examined how different features of corrective feedback influenced children's performance and motivational outcomes on a mathematics task. Elementary school-aged children from the United States (N = 130; Mage = 7.61 years; 35% female; 60% White) participated in a Zoom session with a trained researcher. During the learning activity, children solved a series of mathematical equivalence problems and were assigned to different feedback conditions that varied in feedback content (correct answer alone vs. correct answer with verification) and feedback source (computer alone vs. computer with person). In terms of content, feedback with verification cues led to decreased persistence, decreased strategy variability, and higher reliance on entrenched strategies relative to feedback that contained the correct answer alone. In terms of source, feedback from the computer alone enhanced children's accuracy; however, the most resilient children received feedback from the computer and a person. Findings are discussed in light of existing feedback theories. @2024 Elsevier Inc. All rights reserved.","2024-05","2024-05-26 14:29:27","2024-05-26 14:29:27","2024-03-30","","","","241","","","","","","","","","","","","","","WOS:001182882200001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KD9IVQ9H","journalArticle","2016","Whiteman, Ronald C; Mangels, Jennifer A","Rumination and Rebound from Failure as a Function of Gender and Time on Task.","Brain sciences","","2076-3425","10.3390/brainsci6010007","","Rumination is a trait response to blocked goals that can have positive or negative outcomes for goal resolution depending on where attention is focused. Whereas ""moody brooding"" on affective states may be maladaptive, especially for females, ""reflective pondering"" on concrete strategies for problem solving may be more adaptive. In the context of a challenging general knowledge test, we examined how Brooding and Reflection rumination styles predicted students' subjective and event-related responses (ERPs) to negative feedback, as well as use of this feedback to rebound from failure on a later surprise retest. For females only, Brooding predicted unpleasant feelings after failure as the task progressed. It also predicted enhanced attention to errors through both bottom-up and top-down processes, as indexed by increased early (400-600 ms) and later (600-1000 ms) late positive potentials (LPP), respectively. Reflection, despite increasing females' initial attention to negative feedback (i.e., early LPP), as well as both genders' recurring negative thoughts, did not result in sustained top-down attention (i.e., late LPP) or enhanced negative feelings toward errors. Reflection also facilitated rebound from failure in both genders, although Brooding did not hinder it. Implications of these gender and time-related rumination effects for learning in challenging academic situations are discussed.","2016-02-17","2024-05-26 14:29:28","2024-05-26 14:29:28","2016-02-17","","","1","6","","","","","","","","","","","","","","MEDLINE:26901231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMQLZPRQ","journalArticle","2012","Inzlicht, Michael; Schmeichel, Brandon J.","What Is Ego Depletion? Toward a Mechanistic Revision of the Resource Model of Self-Control","PERSPECTIVES ON PSYCHOLOGICAL SCIENCE","","1745-6916","10.1177/1745691612454134","","According to the resource model of self-control, overriding one's predominant response tendencies consumes and temporarily depletes a limited inner resource. Over 100 experiments have lent support to this model of ego depletion by observing that acts of self-control at Time 1 reduce performance on subsequent, seemingly unrelated self-control tasks at Time 2. The time is now ripe, therefore, not only to broaden the scope of the model but to start gaining a precise, mechanistic account of it. Accordingly, in the current article, the authors probe the particular cognitive, affective, and motivational mechanics of self-control and its depletion, asking, ""What is ego depletion?"" This study proposes a process model of depletion, suggesting that exerting self-control at Time 1 causes temporary shifts in both motivation and attention that undermine self-control at Time 2. The article highlights evidence in support of this model but also highlights where evidence is lacking, thus providing a blueprint for future research. Though the process model of depletion may sacrifice the elegance of the resource metaphor, it paints a more precise picture of ego depletion and suggests several nuanced predictions for future research.","2012-09","2024-05-26 14:29:28","2024-05-26 14:29:28","2012-09-01","450-463","","5","7","","","","","","","","","","","","","","WOS:000308413600003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZ6CVX69","journalArticle","2018","Ong, Nicole T.; Hodges, Nicola J.","Balancing Our Perceptions of the Efficacy of Success-Based Feedback Manipulations on Motor Learning","JOURNAL OF MOTOR BEHAVIOR","","0022-2895","10.1080/00222895.2017.1383227","","We report two experiments evaluating the impact of success-related feedback on learning of a balance task. In Exp. 1, we studied the influence of lax and conservative outcome feedback, as well as large vs. small improvements in outcome feedback on balance learning. Despite impacts on competency, there were no between-group differences in actual performance or learning. Because no comparative information was provided in Exp. 1, we tested four further groups that either did or did not receive positive or negative comparative feedback (Exp. 2). Although the manipulations influenced competency and arousal, again, there was no impact on balance outcomes. These data cast doubt on the assertions made in the OPTIMAL theory that perceptions of success are moderators of motor learning.","2018-11-02","2024-05-26 14:29:28","2024-05-26 14:29:28","2018-11-30","614-630","","6","50","","","","","","","","","","","","","","WOS:000450424900003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"866Z3YZT","journalArticle","2017","Lin, Tian; Ankudowich, Elizabeth; Ebner, Natalie C.","Greater Perceived Similarity Between Self and Own-Age Others in Older Than Young Adults","PSYCHOLOGY AND AGING","","0882-7974","10.1037/pag0000173","","As people age, they increasingly incorporate age-stereotypes into their self-view. Based on this evidence we propose that older compared to young adults identify to a greater extent with their own-age group on personality traits, an effect that may be particularly pronounced for positive traits. Two studies tested these hypotheses by examining associations in young and older adults between evaluations of self and own-age others on personality traits that varied on valence. In both studies, young and older participants rated personality trait adjectives on age typicality, valence, and self-typicality. Converging results across both studies showed that older compared to young participants were more likely to endorse personality traits as self-typical when those traits were also perceived as more typical for their own-age group, independent of whether age was made salient to participants prior to evaluation. In addition, there was evidence that the association between evaluations of self and own-age others in older participants was greater for more positive personality traits. This age-differential pattern is discussed in the context of increased age salience in aging and its effect on the similarity between evaluations of self and own-age others in older compared to young adults.","2017-06","2024-05-26 14:29:28","2024-05-26 14:29:28","2017-06-01","377-387","","4","32","","","","","","","","","","","","","","WOS:000402755500007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
